projectName,testName,totalStatements,testCoveredStatements,totalCoveredStatements,score,playTime,surpriseStepAdequacy,surpriseNodeAdequacy,surpriseCounterNormalised,zScore,avgUncertainty,maxUncertainty,avgDeltaUncertainty,maxDeltaUncertainty
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,61,65,0.0,2.58,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,52,65,0.0,2.48,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,40,58,0.0,0.16,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,43,58,0.0,6.75,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,50,58,0.0,0.2199999999999999,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,51,58,0.0,0.47,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,54,58,1.0,4.31,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,52,58,0.0,2.39,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,40,58,0.0,0.17,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,43,58,0.0,6.630000000000001,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,50,58,0.0,0.24,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,51,58,0.0,0.41,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,55,58,1.0,4.21,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,52,58,0.0,2.3200000000000003,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,40,65,0.0,0.16,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,43,65,0.0,7.16,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,50,65,0.0,0.2,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,51,65,0.0,0.48,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,61,65,0.0,2.75,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,52,65,0.0,2.35,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-14.js_1.js,69,40,63,0.0,0.15,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-14.js_1.js,69,42,63,0.0,2.54,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-14.js_1.js,69,50,63,0.0,0.29,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-14.js_1.js,69,61,63,0.0,2.7700000000000005,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-14.js_1.js,69,52,63,0.0,3.3600000000000003,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-14.js_1.js,69,40,66,0.0,0.15,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-14.js_1.js,69,42,66,0.0,2.75,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-14.js_1.js,69,50,66,0.0,0.32,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-14.js_1.js,69,61,66,0.0,2.07,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-14.js_1.js,69,55,66,1.0,3.09,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-14.js_1.js,69,40,57,0.0,0.15,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-14.js_1.js,69,42,57,0.0,2.59,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-14.js_1.js,69,50,57,0.0,0.37,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-14.js_1.js,69,55,57,1.0,4.22,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-14.js_1.js,69,52,57,0.0,3.41,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-14.js_1.js,69,40,57,0.0,0.16,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-14.js_1.js,69,42,57,0.0,2.72,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-14.js_1.js,69,50,57,0.0,0.32,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-14.js_1.js,69,55,57,2.0,4.109999999999999,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-14.js_1.js,69,52,57,0.0,3.62,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-14.js_1.js,69,40,63,0.0,0.15,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-14.js_1.js,69,42,63,0.0,2.46,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-14.js_1.js,69,50,63,0.0,0.3,,,,,,,,
