projectName,testName,totalStatements,testCoveredStatements,totalCoveredStatements,score,playTime,surpriseStepAdequacy,surpriseNodeAdequacy,surpriseCounterNormalised,zScore,avgUncertainty,maxUncertainty,avgDeltaUncertainty,maxDeltaUncertainty
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,63,69,0.0,59.67,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,66,69,1.0,59.65,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,61,69,0.0,2.11,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,66,69,1.0,59.66,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,52,69,0.0,59.73,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,52,69,0.0,59.67,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,63,69,0.0,59.74,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,63,69,0.0,58.620000000000005,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,61,69,0.0,2.08,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,66,69,1.0,59.75,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,52,69,0.0,59.71,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,52,69,0.0,59.75,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,66,69,1.0,59.68,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,63,69,0.0,59.7,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,61,69,0.0,2.27,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,66,69,1.0,59.71,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,52,69,0.0,59.75,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,52,69,0.0,59.720000000000006,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,64,69,0.0,59.45,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,65,69,1.0,59.68,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,61,69,0.0,2.13,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,66,69,1.0,59.67,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,52,69,0.0,59.68,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,52,69,0.0,59.690000000000005,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,66,69,1.0,59.74,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,65,69,1.0,59.67,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,66,69,2.0,6.18,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,66,69,1.0,59.690000000000005,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,52,69,0.0,59.68,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,52,69,0.0,59.74,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,63,69,0.0,59.71,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,65,69,1.0,59.75,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,61,69,0.0,1.82,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,66,69,1.0,59.690000000000005,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,52,69,0.0,59.720000000000006,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,52,69,0.0,59.65,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,66,69,1.0,59.690000000000005,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,63,69,0.0,58.61,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,65,69,3.0,5.84,,,,,,,,
